,Unnamed: 0,Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
57,57,30057,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",2,53,2.1151844033860563,64,100,54,331.854771754092,1
58,58,30058,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",3,52,2.624665709518973,58,100,53,357.5949894905954,1
59,59,30059,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",4,55,2.148933049698146,72,100,56,358.8933993846109,1
60,60,30060,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",0,64,2.200540360470088,67,300,65,221.14148464532025,1
61,61,30061,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",1,49,3.399555325429425,61,300,50,219.00928352928585,1
62,62,30062,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",2,144,4.990478098313794,158,300,145,201.1391990779424,1
63,63,30063,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",3,85,4.110133663602303,103,300,86,212.7862340010332,1
64,64,30064,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",4,138,5.1229888953642355,171,300,139,210.05456830829183,1
65,65,30065,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",0,37,1.9759632911875564,44,300,38,348.64734336131653,1
66,66,30066,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",1,54,3.4478662013220642,76,300,55,355.05700062730966,1
67,67,30067,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",2,50,3.424804568212018,60,300,51,340.73261670920186,1
68,68,30068,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",3,36,3.5989030160383684,46,300,37,332.85063826132347,1
69,69,30069,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",4,66,3.8174735464529497,89,300,67,346.9209500317211,1
70,70,30070,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",0,60,3.4137640807685026,76,600,61,212.9152073356215,1
71,71,30071,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",1,184,6.154634079700387,253,600,185,200.42381284045857,1
72,72,30072,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",2,37,3.278471312290109,40,600,38,215.22216253386952,1
73,73,30073,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",3,33,2.57290984112497,42,600,34,215.71890332164332,1
74,74,30074,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",4,154,5.464611318871134,173,600,155,212.97260484916347,1
75,75,30075,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",0,60,3.422042450672067,64,600,61,346.63372124723065,1
76,76,30076,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",1,88,3.814353606468118,97,600,89,355.2438893375033,1
77,77,30077,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",2,116,4.276770195728219,145,600,117,337.57893205560976,1
78,78,30078,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",3,83,3.0308208556818546,118,600,84,362.1958080332832,1
79,79,30079,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",4,57,3.6466320426908667,66,600,58,351.3625594629742,1
80,80,30080,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",0,88,4.039196399017923,93,1000,89,211.66003017283643,1
81,81,30081,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",1,180,6.23787340240156,186,1000,181,193.4878096037587,1
82,82,30082,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",2,70,3.139223951573428,87,1000,71,195.1375435465304,1
83,83,30083,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",3,55,2.9937226955843528,68,1000,56,218.1577029819058,1
84,84,30084,NRRT*,alternatinggaps,2,"[162, 57]","[152, 237]",4,71,3.951841272482673,87,1000,72,210.14629355214208,1
85,85,30085,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",0,68,3.760129717156046,86,1000,69,343.55645340334456,1
86,86,30086,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",1,30,4.601142791077249,39,1000,31,324.3570686215179,1
87,87,30087,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",2,59,3.0339622681093776,74,1000,60,361.8946287259928,1
88,88,30088,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",3,47,4.046776730294283,64,1000,48,328.6355465266947,1
89,89,30089,NRRT*,alternatinggaps,2,"[35, 248]","[188, 25]",4,76,4.011390067705909,100,1000,77,364.12400005818046,1
90,90,30090,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,38,0.10665857791900621,39,5,39,297.2198957128781,1
91,91,30091,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,82,1.7782995563908162,91,5,83,267.77065659559264,1
92,92,30092,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,85,0.5851936340332031,112,5,86,279.8971009275085,1
93,93,30093,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,38,0.08142328262329088,44,5,39,356.96509560623895,1
94,94,30094,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,22,1.3837401421573912,25,5,23,268.2644420462928,1
95,95,30095,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,90,0.6374484300613403,114,5,91,422.5734805993048,1
96,96,30096,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,62,1.4682643521786711,74,5,63,321.81516975975273,1
97,97,30097,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,82,1.7353340495587366,101,5,83,314.67411104904323,1
98,98,30098,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,129,3.7352861072710626,173,5,130,317.54910759939406,1
99,99,30099,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,66,1.5044382322789214,71,5,67,337.3693824370589,1
100,100,30100,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,182,2.8615747690200806,220,10,183,297.29218050319594,1
101,101,30101,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,190,5.076751433606457,212,10,191,252.36136007504504,1
102,102,30102,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,43,2.084852956528973,47,10,44,258.60391265608376,1
103,103,30103,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,54,2.1372263061955685,66,10,55,251.21088763389184,1
104,104,30104,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,108,0.9213854670524595,134,10,109,287.300448732134,1
105,105,30105,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,46,2.4628366714616075,54,10,47,318.1023329384307,1
106,106,30106,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,34,2.398502815355803,41,10,35,317.3327115672614,1
107,107,30107,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,61,0.3017640709877013,87,10,62,368.7799207821408,1
108,108,30108,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,150,3.1219520657031694,187,10,151,331.4828810592538,1
109,109,30109,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",4,76,0.46961778402328475,100,10,77,410.8075347875781,1
110,110,30110,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",0,111,2.9888856041386838,126,20,112,263.753197427548,1
111,111,30111,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",1,64,0.31387531757354725,88,20,65,276.19833574297536,1
112,112,30112,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",2,105,0.8748164176940918,130,20,106,278.1827902695293,1
113,113,30113,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",3,31,0.05349129438400267,35,20,32,277.3163295969599,1
114,114,30114,NRRT*,bugtrapforest,10,"[144, 93]","[44, 243]",4,149,1.9106281399726868,163,20,150,317.7216454582482,1
115,115,30115,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",0,85,2.5894853555546486,108,20,86,328.9553178991424,1
116,116,30116,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",1,210,7.105273896479099,299,20,211,317.08927850595904,1
117,117,30117,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",2,43,2.555100561999372,48,20,44,314.28202573922863,1
118,118,30118,NRRT*,bugtrapforest,10,"[23, 210]","[224, 29]",3,81,1.7982464721271896,93,20,82,321.06939560476417,1
