Overall Test Number,Algorithm,Map Type,Map Id,Start Point,Goal Point,Test Number,Iteration,Timestep,Num Collision Checks,Batch Size,Cumulative Num Sampled,Current Path Cost,Any Path Found
10121,fmt,maze,25,"[39, 18]","[190, 250]",1,1,0.11,1,10,10,-1,False
10122,fmt,maze,25,"[39, 18]","[190, 250]",2,1,0.07,1,10,10,-1,False
10123,fmt,maze,25,"[39, 18]","[190, 250]",3,1,0.06,1,10,10,-1,False
10124,fmt,maze,25,"[39, 18]","[190, 250]",4,1,0.07,1,10,10,-1,False
10125,fmt,multibugtrap,26,"[10, 242]","[171, 14]",0,1,0.39,5,10,10,-1,False
10126,fmt,multibugtrap,26,"[10, 242]","[171, 14]",1,1,0.39,5,10,10,-1,False
10127,fmt,multibugtrap,26,"[10, 242]","[171, 14]",2,1,0.39,5,10,10,-1,False
10128,fmt,multibugtrap,26,"[10, 242]","[171, 14]",3,1,0.63,5,10,10,-1,False
10129,fmt,multibugtrap,26,"[10, 242]","[171, 14]",4,1,0.53,5,10,10,-1,False
10130,fmt,multibugtrap,27,"[206, 231]","[23, 6]",0,7,2.25,22,10,10,-1,False
10131,fmt,multibugtrap,27,"[206, 231]","[23, 6]",1,7,2.18,22,10,10,-1,False
10132,fmt,multibugtrap,27,"[206, 231]","[23, 6]",2,7,2.55,22,10,10,-1,False
10133,fmt,multibugtrap,27,"[206, 231]","[23, 6]",3,7,2.82,22,10,10,-1,False
10134,fmt,multibugtrap,27,"[206, 231]","[23, 6]",4,7,2.18,22,10,10,-1,False
10135,fmt,multibugtrap,28,"[39, 231]","[224, 17]",0,3,1.24,20,10,10,-1,False
10136,fmt,multibugtrap,28,"[39, 231]","[224, 17]",1,3,1.26,20,10,10,-1,False
10137,fmt,multibugtrap,28,"[39, 231]","[224, 17]",2,3,1.43,20,10,10,-1,False
10138,fmt,multibugtrap,28,"[39, 231]","[224, 17]",3,3,1.26,20,10,10,-1,False
10139,fmt,multibugtrap,28,"[39, 231]","[224, 17]",4,3,1.54,20,10,10,-1,False
10140,fmt,multibugtrap,29,"[6, 17]","[234, 193]",0,1,0.02,1,10,10,-1,False
10141,fmt,multibugtrap,29,"[6, 17]","[234, 193]",1,1,0.03,1,10,10,-1,False
10142,fmt,multibugtrap,29,"[6, 17]","[234, 193]",2,1,0.02,1,10,10,-1,False
10143,fmt,multibugtrap,29,"[6, 17]","[234, 193]",3,1,0.02,1,10,10,-1,False
10144,fmt,multibugtrap,29,"[6, 17]","[234, 193]",4,1,0.02,1,10,10,-1,False
10145,fmt,multibugtrap,30,"[202, 35]","[12, 247]",0,7,2.05,25,10,10,-1,False
10146,fmt,multibugtrap,30,"[202, 35]","[12, 247]",1,7,2.21,25,10,10,-1,False
10147,fmt,multibugtrap,30,"[202, 35]","[12, 247]",2,7,1.76,25,10,10,-1,False
10148,fmt,multibugtrap,30,"[202, 35]","[12, 247]",3,7,1.83,25,10,10,-1,False
10149,fmt,multibugtrap,30,"[202, 35]","[12, 247]",4,7,1.63,25,10,10,-1,False
10150,fmt,shiftinggaps,31,"[75, 15]","[245, 228]",0,1,0.03,1,10,10,-1,False
10151,fmt,shiftinggaps,31,"[75, 15]","[245, 228]",1,1,0.05,1,10,10,-1,False
10152,fmt,shiftinggaps,31,"[75, 15]","[245, 228]",2,1,0.03,1,10,10,-1,False
10153,fmt,shiftinggaps,31,"[75, 15]","[245, 228]",3,1,0.03,1,10,10,-1,False
10154,fmt,shiftinggaps,31,"[75, 15]","[245, 228]",4,1,0.05,1,10,10,-1,False
10155,fmt,shiftinggaps,32,"[20, 246]","[182, 13]",0,8,0.52,9,10,10,-1,False
10156,fmt,shiftinggaps,32,"[20, 246]","[182, 13]",1,8,0.46,9,10,10,-1,False
10157,fmt,shiftinggaps,32,"[20, 246]","[182, 13]",2,8,0.65,9,10,10,-1,False
10158,fmt,shiftinggaps,32,"[20, 246]","[182, 13]",3,8,0.47,9,10,10,-1,False
10159,fmt,shiftinggaps,32,"[20, 246]","[182, 13]",4,8,0.61,9,10,10,-1,False
10160,fmt,shiftinggaps,33,"[5, 13]","[181, 246]",0,1,0.02,1,10,10,-1,False
10161,fmt,shiftinggaps,33,"[5, 13]","[181, 246]",1,1,0.03,1,10,10,-1,False
10162,fmt,shiftinggaps,33,"[5, 13]","[181, 246]",2,1,0.02,1,10,10,-1,False
10163,fmt,shiftinggaps,33,"[5, 13]","[181, 246]",3,1,0.02,1,10,10,-1,False
10164,fmt,shiftinggaps,33,"[5, 13]","[181, 246]",4,1,0.03,1,10,10,-1,False
10165,fmt,shiftinggaps,34,"[27, 242]","[211, 27]",0,8,0.54,9,10,10,-1,False
10166,fmt,shiftinggaps,34,"[27, 242]","[211, 27]",1,8,0.51,9,10,10,-1,False
10167,fmt,shiftinggaps,34,"[27, 242]","[211, 27]",2,8,0.46,9,10,10,-1,False
10168,fmt,shiftinggaps,34,"[27, 242]","[211, 27]",3,8,0.5,9,10,10,-1,False
10169,fmt,shiftinggaps,34,"[27, 242]","[211, 27]",4,8,0.67,9,10,10,-1,False
10170,fmt,shiftinggaps,35,"[205, 231]","[54, 6]",0,8,0.61,10,10,10,-1,False
10171,fmt,shiftinggaps,35,"[205, 231]","[54, 6]",1,8,0.51,10,10,10,-1,False
10172,fmt,shiftinggaps,35,"[205, 231]","[54, 6]",2,8,0.49,10,10,10,-1,False
10173,fmt,shiftinggaps,35,"[205, 231]","[54, 6]",3,8,0.49,10,10,10,-1,False
10174,fmt,shiftinggaps,35,"[205, 231]","[54, 6]",4,8,0.47,10,10,10,-1,False
10175,fmt,bugtrap,36,"[244, 240]","[61, 8]",0,9,0.54,10,10,10,-1,False
10176,fmt,bugtrap,36,"[244, 240]","[61, 8]",1,9,0.54,10,10,10,-1,False
10177,fmt,bugtrap,36,"[244, 240]","[61, 8]",2,9,0.54,10,10,10,-1,False
10178,fmt,bugtrap,36,"[244, 240]","[61, 8]",3,9,0.56,10,10,10,-1,False
10179,fmt,bugtrap,36,"[244, 240]","[61, 8]",4,9,0.56,10,10,10,-1,False
10180,fmt,bugtrap,37,"[37, 24]","[247, 198]",0,5,0.9,14,10,10,441.42,True
10181,fmt,bugtrap,37,"[37, 24]","[247, 198]",1,5,1.0,14,10,10,441.42,True
10182,fmt,bugtrap,37,"[37, 24]","[247, 198]",2,5,0.92,14,10,10,441.42,True
10183,fmt,bugtrap,37,"[37, 24]","[247, 198]",3,5,0.94,14,10,10,441.42,True
10184,fmt,bugtrap,37,"[37, 24]","[247, 198]",4,5,0.81,14,10,10,441.42,True
10185,fmt,bugtrap,38,"[15, 28]","[220, 219]",0,1,0.02,1,10,10,-1,False
10186,fmt,bugtrap,38,"[15, 28]","[220, 219]",1,1,0.02,1,10,10,-1,False
10187,fmt,bugtrap,38,"[15, 28]","[220, 219]",2,1,0.02,1,10,10,-1,False
10188,fmt,bugtrap,38,"[15, 28]","[220, 219]",3,1,0.02,1,10,10,-1,False
10189,fmt,bugtrap,38,"[15, 28]","[220, 219]",4,1,0.02,1,10,10,-1,False
10190,fmt,bugtrap,39,"[51, 218]","[223, 6]",0,5,0.54,10,10,10,307.2,True
10191,fmt,bugtrap,39,"[51, 218]","[223, 6]",1,5,0.42,10,10,10,307.2,True
10192,fmt,bugtrap,39,"[51, 218]","[223, 6]",2,5,0.45,10,10,10,307.2,True
10193,fmt,bugtrap,39,"[51, 218]","[223, 6]",3,5,0.58,10,10,10,307.2,True
10194,fmt,bugtrap,39,"[51, 218]","[223, 6]",4,5,0.46,10,10,10,307.2,True
10195,fmt,bugtrap,40,"[236, 9]","[34, 250]",0,3,0.47,10,10,10,334.32,True
10196,fmt,bugtrap,40,"[236, 9]","[34, 250]",1,3,0.53,10,10,10,334.32,True
10197,fmt,bugtrap,40,"[236, 9]","[34, 250]",2,3,0.5,10,10,10,334.32,True
10198,fmt,bugtrap,40,"[236, 9]","[34, 250]",3,3,0.57,10,10,10,334.32,True
10199,fmt,bugtrap,40,"[236, 9]","[34, 250]",4,3,0.43,10,10,10,334.32,True
10200,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",0,24,2.39,61,50,50,371.5,True
10201,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",1,24,2.53,61,50,50,371.5,True
10202,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",2,24,2.7,61,50,50,371.5,True
10203,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",3,24,3.24,61,50,50,371.5,True
10204,fmt,alternatinggaps,01,"[232, 5]","[7, 165]",4,24,2.54,61,50,50,371.5,True
10205,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",0,19,2.16,45,50,50,348.15,True
10206,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",1,19,1.94,45,50,50,348.15,True
10207,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",2,19,1.98,45,50,50,348.15,True
10208,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",3,19,2.06,45,50,50,348.15,True
10209,fmt,alternatinggaps,02,"[10, 9]","[230, 198]",4,19,2.17,45,50,50,348.15,True
10210,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",0,26,1.54,30,50,50,-1,False
10211,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",1,26,1.41,30,50,50,-1,False
10212,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",2,26,1.26,30,50,50,-1,False
10213,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",3,26,1.32,30,50,50,-1,False
10214,fmt,alternatinggaps,03,"[245, 42]","[39, 249]",4,26,1.28,30,50,50,-1,False
10215,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",0,24,1.4,34,50,50,-1,False
10216,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",1,24,1.83,34,50,50,-1,False
10217,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",2,24,1.73,34,50,50,-1,False
10218,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",3,24,1.47,34,50,50,-1,False
10219,fmt,alternatinggaps,04,"[19, 243]","[230, 32]",4,24,1.65,34,50,50,-1,False
10220,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",0,16,2.04,46,50,50,312.08,True
10221,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",1,16,2.37,46,50,50,312.08,True
10222,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",2,16,1.92,46,50,50,312.08,True
10223,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",3,16,1.86,46,50,50,312.08,True
10224,fmt,alternatinggaps,05,"[246, 217]","[50, 10]",4,16,2.02,46,50,50,312.08,True
10225,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",0,33,5.4,89,50,50,467.21,True
10226,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",1,33,5.81,89,50,50,467.21,True
10227,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",2,33,5.51,89,50,50,467.21,True
10228,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",3,33,5.8,89,50,50,467.21,True
10229,fmt,bugtrapforest,06,"[41, 21]","[241, 238]",4,33,3.97,89,50,50,467.21,True
10230,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",0,0,0.23,5,50,50,-1,False
10231,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",1,0,0.28,5,50,50,-1,False
10232,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",2,0,0.22,5,50,50,-1,False
10233,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",3,0,0.22,5,50,50,-1,False
10234,fmt,bugtrapforest,07,"[14, 8]","[225, 179]",4,0,0.21,5,50,50,-1,False
10235,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",0,24,4.15,66,50,50,368.67,True
10236,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",1,24,3.9,66,50,50,368.67,True
10237,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",2,24,3.65,66,50,50,368.67,True
10238,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",3,24,4.35,66,50,50,368.67,True
10239,fmt,bugtrapforest,08,"[7, 40]","[238, 219]",4,24,4.48,66,50,50,368.67,True
10240,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",0,9,3.77,53,50,50,297.39,True
10241,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",1,9,3.87,53,50,50,297.39,True
10242,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",2,9,3.78,53,50,50,297.39,True
10243,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",3,9,3.77,53,50,50,297.39,True
10244,fmt,bugtrapforest,09,"[231, 205]","[31, 22]",4,9,3.6,53,50,50,297.39,True
10245,fmt,bugtrapforest,10,"[242, 13]","[29, 237]",0,30,6.17,82,50,50,374.79,True
